,Madde,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28
29,Bebek Sütü (Toz Karışım),2.907701746569602,3.309508569505004,6.840396885807332,5.7778724876021315,4.005651581580927,1.2347595217670593,3.160625171407605,2.9663094532247136,4.208745554882842,2.2371469204973238,-0.562610892751958,2.029359473664716,3.4435302721267824
30,Bebek Tulumu,3.1169891238260528,3.826385343022931,-0.7671874998371075,-1.0109098553453655,-0.36718821986060357,0.8725276432007156,0.5325525854270374,3.336272603208834,3.192237441475543,0.796970608571157,1.585700170629134,-0.22813257395116748,0.5298410130610942
31,Bebek İç Çamaşırı,3.083015312987558,7.489753583416658,-0.03317813884518017,-1.3233323503476169,-2.2484652844974917,-5.6927849722046115,-5.2395141769935645,1.2514504852127795,2.761478725904576,-1.4412474457934255,-1.7345424848787427,9.872964991296795,-5.1644379519369785
32,Belediye Otobüs Ücreti,14.832700492073347,10.049462801232355,0.0,0.0,0.0,1.0532038200457006,3.850445875350861,5.036904013670651,2.0118481419311607,-0.14382880249452779,0.5183155799787897,6.286854422335164,2.226859729532382
33,Benzin,3.024740168725737,-3.3266281219720306,2.233545541553661,1.5535228065841178,5.088108323810414,5.509609499580237,1.0835206256924135,2.872377560467343,-0.9473957050775583,3.1807785020411483,-1.4144084937620538,-0.9427678326680455,3.7930598065450183
34,Beyaz Lahana,7.6424063267192865,-5.6183868038356515,-2.238221491467296,-22.14036798097633,-9.490778801977074,5.645176095977322,2.4020751569933774,9.591785089955906,42.501286211868596,0.5138816807749524,-5.335327509617005,-0.14082054488263607,5.378038043977195
35,Beyaz Peynir,6.692023402980207,2.0725715859479577,2.5609633807265775,0.4951042671581529,-0.9979842631969493,-0.3362138711748841,1.6480299899894746,2.179711527924,4.415299508346293,3.085067744333281,0.8646492602573552,3.6899693561907254,5.023854353193591
36,Bilgisayar,0.0741235599550416,-0.09536637314236929,-0.4725858003304717,-2.3817371409435295,-0.1648464140954542,1.8539363877284165,1.6416028202886457,1.1817936906785231,2.1069011007812666,4.046341280798749,7.237367416372176,4.703278768518926,0.9050540967865617
37,Bilgisayar Ekipmanları,1.6973030610774265,1.3909993862443404,1.120655602806342,0.4539218770302167,0.10490233569508955,1.3495820974720685,1.4646403830313792,0.6350944989851337,1.2355505771862063,-0.5746057345561661,1.7262947772446857,1.7306531799565317,0.7932604447455027
38,Bisiklet,9.112282163467157,4.882088747107649,-3.415770376607552,5.977671410110785,1.0412954169904953,1.1137568146501797,2.7923735611444345,1.866924000306902,0.7189642403994778,1.953605345990761,2.896571551796323,2.982757526804125,2.1925487312428493
39,Bisküvi,9.382643872427465,1.1634715800520556,0.17310799882330752,2.239849467280619,2.546787100262171,0.260001639558638,2.838145187369001,0.6682879789801088,2.261393070192952,2.271538579319232,0.9173028537484251,3.207286967973544,2.6657587573047925
40,Bitki ve Meyve Çayı (Poşet),2.8383129076052116,4.563748022533476,0.6081198009417532,-0.7142201033367046,3.6711747399225114,0.030432522528500705,-0.0838747581757171,-2.425281783423272,6.398707360080991,2.3757462770850557,6.959863004338329,0.8100718864333611,4.366071333190602
41,Bot (Erkek için),4.061645633140243,8.223434378847472,0.9656201841445888,-0.18323119987785352,-0.2236043504837304,-0.6106645501511077,-4.694034583116613,2.5502940436908705,40.717912138419045,-0.5659333505936948,-1.0114512184042246,2.127625257081456,-6.64411305638633
42,Bot (Kadın için),1.8378298224047906,6.235601830024118,0.3443278383784998,0.5295675014480805,-0.4143713847535868,-0.39483316598937224,-5.64544119665904,2.3093785755722296,40.23343263558541,-1.4638132584091856,-2.2505961124219875,2.3037749511532146,-6.98164901734768
43,Bot (Çocuk için),1.144327838224446,6.134228190513036,1.5332500857492048,0.5295675014479029,-0.41437138475372004,-0.39483316598951657,-5.645441196659107,2.309378575572274,44.772344578052994,-0.11668954426976574,0.4211913564839298,1.367893625373795,-4.716504977370162
44,Bulaşık Bezleri,7.650544092604572,5.560314688271073,0.24991072238222944,0.05662716524938993,-1.0825064653003924,-0.989065862492966,5.459890736692374,2.4611996322168483,3.0407939986878407,4.155526487139083,1.7169818169768813,2.3155604172274025,3.449602587892464
45,Bulaşık Makinesi,0.588117996197357,1.8125665761930643,0.4189856480430798,1.7180252532849272,0.5674759747430924,1.9673562769705333,0.3042933409241666,0.1590561046502792,1.2298229126998628,-1.3497945408744605,0.1427522949480453,2.6603772082254507,-0.01422713887864746
46,Bulaşık İçin Temizlik ve Bakım Ürünleri,10.887689130752843,4.126644201710006,1.4926810684878333,2.4473766342418157,-0.22144655754332554,0.6167154940220021,0.2387424609903821,0.19153582898820964,1.7647902757431222,0.7113394996607569,1.1247186294676803,2.6578651419303156,-0.7851224439583748
47,Bulgur,4.481954720871828,2.0838395760307327,3.798090265684473,2.5403200651009206,1.8423478121765813,0.8477870898832007,2.6189621519004724,6.502825981120619,3.8949984063352705,0.6395842776762306,-0.28838149979822925,2.994386849143771,3.9710657045201825
48,Burgerler,0.9211948278343707,2.5104028069377726,2.0613169800339337,-0.07192950228083195,1.2487815897894716,2.8256761203817815,3.2927232235420822,4.692262409740144,1.567303082555238,1.1890420596344375,1.4226031933051164,4.977500971787996,3.1025599819091365
49,Buğday Unu,0.4632573871595991,-2.933202540603974,6.107119365935976,0.2969762663189268,1.1274978692644488,-3.0748355733895227,9.586248512257068,-0.2265535877444047,1.1365610723962138,1.6106657895786691,1.192125804610078,-0.9742980761459963,4.18949947706555
50,Cam Ev Eşyası,4.901607792540341,3.495115950053651,0.9884546548284856,0.9522599902817008,0.7543823382563764,0.5189786445983113,1.4908631720873755,0.4438615572482041,0.4922401087036343,-1.7902305587313316,1.7504356840696067,1.5060146775175864,2.185361470040814
51,Ceket (Erkek için),3.846594539685033,4.9568883823214005,0.1539672123876512,-0.11903274444734491,0.27452876214826283,-0.21193716220827552,-1.4249423343868917,1.2970913729761335,2.766112604047022,-0.2713731321070889,0.4006587000234152,0.7973230828414168,-0.09401621502631574
52,Ceket (Kadın için),4.162896853739162,6.408061482239291,0.7494106920249655,-1.5015119074172745,-0.2686724194489343,0.0,0.0,0.0,1.5835491431193782,-0.833792552922008,-2.2916096028948396,0.5004600985938357,2.05123083276717
53,Cep Telefonu Görüşme Ücreti,-1.70562167683731,-2.850123662762527,-4.455814064340913,0.0037194991178379766,0.0,-0.016441547201873075,1.7647202591977607,2.2230959140656648,-0.02270922151582644,2.3601302626193865,5.400145474814866,5.502482800850617,5.2697110541188525
54,Ceviz İçi,6.894523968008959,5.247948178976891,3.168605317480888,1.6694732838878013,-0.7082156972473941,-0.6540181481621721,1.696720105047067,1.6412064655638714,3.677620152223926,-0.16167185437947484,0.5437836985757949,0.010686831275741326,6.171254934244164
55,Cilt ve Vücut Ürünleri,12.454713331545042,15.780598345340536,1.1818085774234488,-0.06850122477186638,0.633379964479408,0.9283821816451043,1.2127025542867376,1.014369969605955,1.3124772022345743,-1.1168925478786118,1.221910714440222,2.28720098054902,1.9934164539693766
56,Cipsler,5.879057089450734,2.3719082194920027,1.2657189813755299,1.3510973594589526,1.1326558297648948,3.560887730957596,-0.1256608720968666,0.48708814935869427,0.11843831823474815,2.0064858499174942,0.024752218964052553,1.6159778432877525,3.6949299105469624
57,Dana Eti,4.481838497079416,7.0438275390780625,5.273641685913688,1.7676446993139194,4.087840560201905,1.0948595195397814,0.5395022231013957,-2.130935696322145,2.556785405049511,0.423447616293271,12.646502725873399,5.227728378427465,2.798866282273371
58,Davlumbaz,2.122473994381524,2.5501948488114268,0.5234901643751178,2.3975036681742834,0.2892167971333848,1.4752153628143194,1.913804827255916,0.9584183041359662,0.48126738372544775,0.5192846659362038,1.1820226427865954,3.2202779807211313,0.048707808577946876
59,Deodorant,1.5604775039951058,0.9917608321002414,-0.1905181830959224,-0.03901983790117747,-0.05363108637386205,0.842088688115239,0.6678937779531102,0.6956123624079602,0.38234323126349334,-1.5785232896261991,2.071650439560946,3.1149576393062484,1.9527071958618691
60,Dereotu,0.18471713232171005,2.227171492204838,0.0,7.003661467578759,3.29808580549642,-2.0317255814202406,18.295953729956405,-4.150614525880735,-5.9816717656517415,-1.7750242570431563,3.3351559452942325,52.551113760891454,26.815087472729083
61,Derin Dondurucu,0.7684988887729949,1.0505672725115378,0.377974491693589,1.427632829996761,0.009413992163143092,0.9744083757144528,1.1930188721092083,1.2687303144456763,0.4827081455464288,-0.2341724111665,2.329802528956071,3.3776623777569847,1.035885500156597
62,Diğer Kitaplar,3.430963352365013,2.996508363532313,0.8614621178825832,1.1293051678864963,-0.6700546924031436,0.7228729058053496,0.9833220961033229,3.394658644942128,0.8433023317443666,-0.4373724878774854,2.550676081820602,3.2274334674293526,2.5751459456024417
63,Dolmalık Biber,11.321641513825064,18.807076918306386,-19.394507840648778,-33.146475428886426,-23.405318660869234,23.848354023279093,-21.115767510074157,55.28090455926342,8.886237326120906,-17.49521666470781,3.066345373466839,56.63117690524422,50.884357525848024
64,Domates,-16.319763154224198,31.30743667634679,-6.542048731295235,-13.34263322242143,-7.209960722596254,8.962311754935559,-5.322766038278703,-4.307453260435246,15.465519113111625,8.66935119792338,-7.303475557140359,41.51856200350752,27.130216851362775
65,Dondurma,6.84904942781932,0.9923651860973548,0.17980747808454822,0.1750740824123076,-0.8588239961379807,-0.2066153799381243,0.5744423516189201,0.6822923953669013,0.44465852507429293,0.05756051834076015,0.05666912544861624,20.9127031676134,2.740933309761495
66,Doğalgaz Ücreti,-0.008223554685837797,-0.02467269302984798,0.0,0.0,0.0,23.575340438129146,0.8294654888456376,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-14
67,Ekmek,9.727849663533572,1.707981982994533,2.0117247603790966,-0.19669612967344596,2.1269122853603717,3.9191413461914015,2.0721735413231634,3.294912191808863,6.838330650106128,2.451196696446467,1.1381813255607165,3.4546072980013554,5.875199449155721
68,Ekmek Hamuru (Yufka),7.56573834719958,5.1584119053105,1.1640992298491248,2.0784901980898773,1.7196208663295964,-0.2771515371148947,1.0790507003112904,4.862169287035156,-0.923868836445696,2.1295194056397238,1.981620220338054,4.204067054348837,3.340982369820422
69,Ekmekarası Yiyecekler (Döner),-0.008223554685815593,7.272863791169959,0.9718256557949445,0.2852350519831015,0.8184584761541602,1.2017302749846248,7.001639982661567,9.237490810003735,2.018919592485502,1.7858347473984182,0.13735865799979763,6.1671324057721355,3.6883454019492445
70,Elbise (Kadın için),4.123121372344385,7.317102924333696,0.0714376792195992,-1.0774516386277577,0.07936979964300317,0.2024525994009485,-2.7550083682939097,-0.12775880606529233,1.1925597393699805,-1.244201571428416,1.6657750022420537,2.8878574171921523,-14.662947434666767
