,Grup,Ürün,Ağırlık,Group_Number,Ana Grup,Üçlü,Dörtlü
87,"Reçel, marmelat, bal vb. ürünler",Fındık Ezmesi,0.0001374633521131,28,Gıda ve alkolsüz içecekler,Gıda,"Şeker, reçel, bal, çikolata ve şekerlemeler"
88,Kuru meyve ve sert kabuklu yemişler,Fındık İçi,0.0007921313396635,22,Gıda ve alkolsüz içecekler,Gıda,Meyveler
89,"Alkolsüz içecekler (meşrubat, ayran vb.)",Gazoz Meyveli,0.0006084369193008,36,Gıda ve alkolsüz içecekler,Alkolsüz içecekler,"Maden suyu, alkolsüz içecekler, meyve ve sebze suları"
90,Yatak odası mobilyaları,Genç Odası Takımı,0.0008416997881413,61,Ev eşyası,"Mobilya, mefruşat, halı ve diğer yer döşemeleri",Mobilya ve mefruşat
91,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",Gofret,0.0017325444483261,4,Gıda ve alkolsüz içecekler,Gıda,Ekmek ve tahıllar
92,Erkek giyim,Gömlek (Erkek için),0.0027555643108085,43,Giyim ve ayakkabı,Giyim,Giysiler
93,Kadın giyim,Gömlek (Kadın için),0.0014286121601335,44,Giyim ve ayakkabı,Giyim,Giysiler
94,Çocuk giyim,Gömlek (Çocuk için),0.0003689162383745,45,Giyim ve ayakkabı,Giyim,Giysiler
95,Ev içi hizmetler (gündelikçi ücreti),Gündelikçi Ücreti,0.004737186330093,79,Ev eşyası,Ev bakım için mal ve hizmetler,Ev işi ve hanehalkı hizmetleri
96,Halı,Halı,0.0015708395298336,63,Ev eşyası,"Mobilya, mefruşat, halı ve diğer yer döşemeleri",Halı ve diğer yer döşemeleri
97,Ev eşyalarının yıkanması ve temizlenmesi hizmetleri,Halı Temizleme,0.0011665238677276,80,Ev eşyası,Ev bakım için mal ve hizmetler,Ev işi ve hanehalkı hizmetleri
98,Ev tekstili,Havlu,0.0005629214275707,64,Ev eşyası,Ev içi tekstil,Ev içi tekstil
