,"Alkollü içecekler,tütün ve tütün ürünleri",Bilgi ve iletişim,Eğitim hizmetleri,"Eğlence,spor ve kültür",Gıda ve alkolsüz içecekler,Giyim ve ayakkabı,"Kişisel bakım,sosyal koruma ve çeşitli mal ve hizmetler","Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar",Lokantalar ve konaklama hizmetleri,"Mobilya,mefruşat ve evde kullanılan ekipmanlar ile rutin ev bakım ve onarımı",Sağlık,Sigorta ve finansal hizmetler,Ulaştırma,Web TÜFE
2025-04-24,111.15844789133693,96.92938163237567,117.90016756869036,110.51369145146697,112.62923797461636,112.29273564214603,114.69376888597513,118.84532845299812,111.98992380428027,112.02934407673858,122.37646596655776,99.96710578125672,108.22671943139784,112.41491168476409
2025-04-25,111.15844789133693,96.92471195746641,117.90016756869036,110.52988884295911,113.1217544426847,112.30556214840523,114.621571109548,118.98226687092479,112.24345087599998,112.15927654175515,122.37646596655776,99.96710578125672,108.23829228409315,112.6084089167712
2025-04-26,111.15844789133693,96.91777281930257,117.90016756869036,110.52697361951611,113.10955990360976,112.3918208472745,114.74464751519538,119.10926117658046,112.16839446423046,112.16870299347637,122.37646596655776,99.96710578125672,108.24541645434142,112.63157177829588
2025-04-27,111.15844789133693,96.92064632565545,117.90016756869036,110.58141457103763,112.95547410427595,112.44229456310383,114.77168463364832,119.12491880628477,112.54019223620321,112.19647603839279,122.37646596655776,99.96710578125672,108.2385368941278,112.63040962905367
2025-04-28,111.15844789133693,96.9531659240118,117.90016756869036,110.71573946628814,112.86336422114054,112.5883083872383,114.90062030944483,119.28435585401924,112.64959692135251,112.35259666610465,122.37646596655776,99.96710578125672,108.2437081061251,112.67261640175877
2025-04-29,111.15844789133693,96.93877107192628,117.90016756869036,111.0559015664532,112.70667228478965,112.62885017394423,115.15811551233932,119.43191211354177,112.6019362699654,112.4830866491474,122.37646596655776,99.96710578125672,108.24973905354713,112.67544737957486
2025-04-30,111.15844789133693,96.91702051115284,117.90016756869036,110.99624467388323,112.67889452131408,112.74873766876883,115.11567003710148,119.5868568153082,113.5332535579697,112.61824491333687,122.37646596655776,99.96710578125672,108.25260797201895,112.79184630714852
2025-05-01,111.15844789133693,97.03479817639383,117.90016756869036,111.01904822267333,112.1858121186732,112.93982380927532,115.13061663578053,119.68598425261621,114.34289016576068,112.57432418062405,122.37646596655776,99.96710578125672,108.06576405867537,112.73282677744801
2025-05-02,111.15844789133693,96.99844367541962,117.90016756869036,111.08206041069283,112.18853367586259,113.04786976823195,115.21313124823158,119.74396263892727,114.49108693027917,112.79953844549027,122.37646596655776,99.96710578125672,108.08110389570419,112.78701213706518
2025-05-03,111.15844789133693,97.02886592334787,117.90016756869036,111.33956524193002,112.32065728867659,112.93533912324924,115.15378326251444,120.42582812160913,114.01685177606379,113.0357066906587,122.37646596655776,99.96710578125672,109.22998378390332,113.05890360830824
